NCDSID	PHASE	ESSSTAT	WORDCOUNT
N10001N	3	1	306
N10002P	3	1	200
N10003Q	3	1	268
N10004R	3	1	169
N10006T	3	1	49
N10008V	3	5	-1
N10009W	3	5	-1
N10010P	3	1	275
N10011Q	3	1	63
N10012R	3	4	-1
N10013S	3	1	158
N10014T	1	1	283
N10015U	3	1	142
N10016V	3	1	258
N10018X	3	1	119
N10019Y	3	1	115
N10020R	3	1	174
N10021S	3	4	-1
N10022T	3	5	-1
N10024V	3	1	142
N10026X	3	1	291
N10027Y	3	1	174
N10028Z	3	4	-1
N10029A	3	1	240
N10030T	3	4	-1
N10031U	3	1	95
N10033W	3	4	-1
N10034X	3	1	221
N10035Y	3	1	246
N10036Z	3	1	174
N10037A	3	1	466
N10039C	3	1	257
N10040V	3	4	-1
N10041W	3	1	384
N10042X	3	1	189
N10043Y	1	4	-1
N10046B	2	7	-1
N10047C	3	5	-1
N10048D	1	1	85
N10049E	3	1	283
N10050X	3	4	-1
N10052Z	3	1	219
N10053A	3	1	191
N10054B	3	1	300
N10056D	3	1	114
N10058F	3	1	156
N10059G	3	1	349
N10060Z	3	1	383
N10062B	3	5	-1
N10063C	3	1	183
N10064D	3	5	-1
N10065E	3	1	219
N10066F	3	1	152
N10068H	3	1	158
N10070B	3	1	140
N10071C	3	5	-1
N10072D	3	1	154
N10075G	3	1	210
N10077J	3	1	570
N10078K	3	4	-1
N10079L	3	4	-1
N10080D	3	1	116
N10081E	3	1	94
N10082F	3	1	265
N10083G	3	1	158
N10085J	3	1	123
N10086K	3	1	295
N10087L	3	1	183
N10088M	3	1	174
N10090F	3	4	-1
N10091G	3	5	-1
N10093J	3	1	202
N10094K	3	1	261
N10095L	3	1	257
N10096M	3	1	133
N10098P	3	1	144
N10099Q	3	5	-1
N10101R	3	1	105
N10102S	3	1	199
N10103T	3	5	-1
N10105V	3	1	154
N10107X	3	5	-1
N10108Y	1	1	406
N10109Z	3	1	414
N10110S	3	1	293
N10112U	3	1	212
N10113V	3	1	240
N10114W	3	1	118
N10116Y	3	5	-1
N10117Z	1	1	173
N10122W	3	1	149
N10123X	3	5	-1
N10124Y	3	4	-1
N10125Z	3	1	128
N10128C	3	1	163
N10131X	3	1	98
N10132Y	3	4	-1
N10133Z	3	1	78
N10134A	3	1	242
N10135B	2	7	-1
N10136C	3	1	138
N10137D	3	1	375
N10138E	3	1	178
N10139F	3	1	232
N10140Y	3	1	817
N10141Z	3	1	180
N10142A	3	1	246
N10143B	3	1	251
N10144C	3	1	172
N10146E	3	1	46
N10147F	3	5	-1
N10148G	3	1	123
N10150A	3	1	182
N10151B	3	1	164
N10152C	3	1	240
N10154E	3	1	137
N10155F	3	1	144
N10156G	3	1	261
N10157H	3	1	104
N10158J	3	5	-1
N10159K	3	1	325
N10160C	3	4	-1
N10163F	3	1	149
N10164G	3	1	215
N10165H	3	1	370
N10166J	3	1	88
N10168L	3	5	-1
N10170E	3	4	-1
N10171F	3	5	-1
N10172G	3	1	150
N10173H	3	5	-1
N10174J	3	1	204
N10177M	3	1	286
N10178N	3	5	-1
N10180G	3	1	132
N10181H	3	1	116
N10182J	3	1	123
N10184L	3	1	394
N10185M	3	1	210
N10186N	3	1	180
N10187P	1	1	369
N10192L	3	1	72
N10194N	3	4	-1
N10197R	3	5	-1
N10198S	3	5	-1
N10200T	3	1	626
N10201U	3	4	-1
N10203W	3	1	187
N10204X	3	1	212
N10206Z	3	1	262
N10207A	3	1	267
N10208B	3	5	-1
N10209C	3	1	268
N10211W	3	1	353
N10212X	3	1	221
N10213Y	3	1	176
N10214Z	3	1	65
N10215A	3	1	128
N10216B	3	5	-1
N10217C	3	5	-1
N10218D	1	1	41
N10220X	3	1	234
N10221Y	3	1	410
N10222Z	3	1	64
N10225C	3	1	216
N10228F	3	1	201
N10229G	3	1	115
N10230Z	3	1	151
N10231A	3	5	-1
N10233C	3	5	-1
N10235E	3	1	142
N10236F	3	1	361
N10237G	3	1	53
N10238H	3	1	34
N10239J	3	1	127
N10241C	3	1	247
N10244F	3	5	-1
N10246H	3	1	183
N10248K	3	4	-1
N10249L	3	1	182
N10250D	3	1	319
N10251E	3	1	109
N10252F	3	1	138
N10253G	3	5	-1
N10255J	3	5	-1
N10256K	2	7	-1
N10257L	3	1	64
N10258M	3	1	126
N10259N	3	1	160
N10260F	3	1	351
N10261G	3	1	59
N10262H	3	1	128
N10263J	3	5	-1
N10264K	2	7	-1
N10266M	1	1	226
N10270H	3	1	202
N10271J	3	1	108
N10272K	2	7	-1
N10273L	3	1	241
N10275N	3	1	90
